Award code,Template
BANS1,BAS1
BENGS1,BAS1
BMIDS1,BAS1
BSCNS1,BAS1
BSCS1,BAS1
LLBS1,BAS1
BANT1,BAT1
BENGT1,BAT1
BMIDT1,BAT1
BSCNT1,BAT1
BSCT1,BAT1
LLBST1,BAT1
LLBT1,BAT1
LLMS1,MAS1
MAPHS1,MAS1
MATSWS1,MAS1
MPAS1,MAS1
MSCIS1,MAS1
MSCTNS1,MAS1
MSCTS1,MAS1
MATS1,MAS1
MBIOCHEMS1,MENGS1
MBIOLS1,MENGS1
MBIOMEDSCIS1,MENGS1
MCHEMS1,MENGS1
MMATHS1,MENGS1
MMIDS1,MENGS1
MNURSS1,MENGS1
MENVS1,MENGS1
MPHYSS1,MENGS1
MSOCWS1,MENGS1
MBIOCHEMT1,MENGT1
MBIOLT1,MENGT1
MBIOMEDSCIT1,MENGT1
MCHEMT1,MENGT1
MENVT1,MENGT1
MMATT1,MENGT1
MMIDT1,MENGT1
MNURST1,MENGT1
MPHYST1,MENGT1
MSOCWT1,MENGT1
MMATHT1,MENGT1